,latency,x_pos,z_pos,x_conv,z_conv,nodeNr,in_nodeRadius,neighbours,num_neighbours,closest_to_nodeCentroid,node_1st_half,time_diff,time_diff_normalized,distance_to_next,distance_difference
169,27.089,-81.16,82.01,90.42750000000001,90.5375,,0,,,0,0,21.081000000000003,0.5269459581062841,15.725046625360129,0.012747548783984541
170,27.201,-81.01,82.04,90.465,90.545,,0,,,0,0,20.969,0.5241463780432936,15.76328927171207,0.03824264635194119
171,27.311,-80.79,82.08,90.52,90.55499999999999,,0,,,0,0,20.859,0.5213967904814278,15.819190971149556,0.05590169943748613
172,27.422,-80.59,82.12,90.57,90.565,,0,,,0,0,20.748,0.5186222066689997,15.870181166285482,0.05099019513592573
173,27.533,-80.41,82.16,90.61500000000001,90.57499999999999,,0,,,0,0,20.637,0.5158476228565715,15.91627888857196,0.04609772228647735
174,27.645,-80.25,82.19,90.655,90.5825,,0,,,0,0,20.525000000000002,0.513048042793581,15.956975940062202,0.04069705149024294
175,27.756,-80.11,82.22,90.69,90.59,,0,,,0,0,20.414,0.5102734589811528,15.99277049272039,0.03579455265818865
176,27.867,-80.0,82.24,90.7175,90.595,,0,,,0,0,20.303,0.5074988751687247,16.020721342439142,0.02795084971875106
177,27.978,-79.9,82.25,90.7425,90.5975,,0,,,0,0,20.192,0.5047242913562966,16.04584603149195,0.0251246890528094
178,28.089,-79.8,82.27,90.7675,90.60249999999999,,0,,,0,0,20.081000000000003,0.5019497075438685,16.071341129059906,0.025495097567954872
179,28.201,-79.71,82.28,90.79,90.60499999999999,,0,,,0,0,19.969,0.4991501274808779,16.093979591905256,0.022638462845350205
180,28.312,-79.62,82.3,90.8125,90.61,,0,,,0,0,19.858,0.49637554366844977,16.117028453048484,0.02304886114322713
181,28.534,-79.49,82.31,90.845,90.6125,,0,,,0,0,19.636000000000003,0.4908263760435935,16.149624465074496,0.03259601202601203
182,28.756,-79.45,82.32,90.855,90.615,,0,,,0,0,19.414,0.4852772084187372,16.159932229138544,0.010307764064048541
183,28.977,-79.56,82.31,90.8275,90.6125,,0,,,0,0,19.193,0.4797530370444434,16.187545631681516,0.027613402542971954
184,29.088,-79.68,82.29,90.7975,90.6075,,0,,,0,0,19.082,0.4769784532320152,16.217959444333008,0.030413812651492123
185,29.199,-79.84,82.27,90.7575,90.60249999999999,,0,,,0,0,18.971,0.4742038694195871,16.258270733074507,0.04031128874149914
186,29.31,-80.05,82.24,90.705,90.595,,0,,,0,0,18.860000000000003,0.471429285607159,16.311303741663494,0.05303300858898652
187,29.421,-80.27,82.21,90.65,90.58749999999999,,0,,,0,0,18.749000000000002,0.46865470179473084,16.366812749941424,0.05550900827793015
188,29.532,-80.52,82.16,90.5875,90.57499999999999,,0,,,0,0,18.638,0.46588011798230267,16.430550493861336,0.06373774391991205
